Fecha,DV,VV
2026-04-28 08:20:00,338.0,3.4
2026-04-28 08:30:00,28.0,2.8
2026-04-28 08:40:00,250.0,3.8
2026-04-28 08:50:00,254.0,3.5
2026-04-28 09:00:00,296.0,3.2
2026-04-28 09:10:00,275.0,3.2
2026-04-28 09:20:00,344.0,3.7
2026-04-28 09:30:00,287.0,3.9
2026-04-28 09:40:00,1.0,4.0
2026-04-28 09:50:00,305.0,4.0
2026-04-28 10:00:00,279.0,3.9
2026-04-28 10:10:00,293.0,3.6
2026-04-28 10:20:00,293.0,3.9
2026-04-28 10:30:00,312.0,3.4
2026-04-28 10:40:00,268.0,3.7
2026-04-28 10:50:00,282.0,4.2
2026-04-28 11:00:00,281.0,4.6
2026-04-28 11:10:00,329.0,4.1
2026-04-28 11:20:00,285.0,4.0
2026-04-28 11:30:00,304.0,4.2
2026-04-28 11:40:00,314.0,3.7
2026-04-28 11:50:00,299.0,4.7
2026-04-28 12:00:00,303.0,4.4
2026-04-28 12:10:00,301.0,4.1
2026-04-28 12:20:00,322.0,4.8
2026-04-28 12:30:00,298.0,4.7
2026-04-28 12:40:00,314.0,5.0
2026-04-28 12:50:00,318.0,5.2
2026-04-28 13:00:00,316.0,4.9
2026-04-28 13:10:00,297.0,4.5
2026-04-28 13:20:00,303.0,5.0
2026-04-28 13:30:00,313.0,5.0
2026-04-28 13:40:00,317.0,4.4
2026-04-28 13:50:00,309.0,5.7
2026-04-28 14:00:00,321.0,5.6
2026-04-28 14:10:00,316.0,5.3
2026-04-28 14:20:00,336.0,5.6
2026-04-28 14:30:00,304.0,5.1
2026-04-28 14:40:00,319.0,5.3
2026-04-28 14:50:00,298.0,5.1
2026-04-28 15:00:00,255.0,4.4
2026-04-28 15:10:00,318.0,5.1
2026-04-28 15:20:00,319.0,5.4
2026-04-28 15:30:00,312.0,5.3
2026-04-28 15:40:00,326.0,4.3
2026-04-28 15:50:00,307.0,4.6
2026-04-28 16:00:00,334.0,4.7
2026-04-28 16:10:00,356.0,4.0
2026-04-28 16:20:00,45.0,4.8
2026-04-28 16:30:00,328.0,4.9
2026-04-28 16:40:00,64.0,4.4
2026-04-28 16:50:00,348.0,4.5
2026-04-28 17:00:00,46.0,4.4
2026-04-28 17:10:00,67.0,4.4
2026-04-28 17:20:00,110.0,4.7
2026-04-28 17:30:00,93.0,4.8
2026-04-28 17:40:00,146.0,3.8
2026-04-28 17:50:00,122.0,3.1
2026-04-28 18:00:00,92.0,3.1
2026-04-28 18:10:00,148.0,4.1
2026-04-28 18:20:00,129.0,4.1
2026-04-28 18:30:00,168.0,3.3
2026-04-28 18:40:00,92.0,4.6
2026-04-28 18:50:00,105.0,4.8
2026-04-28 19:00:00,85.0,3.7
2026-04-28 19:10:00,126.0,5.2
2026-04-28 19:20:00,119.0,4.8
2026-04-28 19:30:00,103.0,4.7
2026-04-28 19:40:00,110.0,5.1
2026-04-28 19:50:00,107.0,4.6
2026-04-28 20:00:00,138.0,4.5
2026-04-28 20:10:00,110.0,4.9
2026-04-28 20:20:00,119.0,4.1
2026-04-28 20:30:00,89.0,3.8
2026-04-28 20:40:00,92.0,4.6
2026-04-28 20:50:00,130.0,3.6
2026-04-28 21:00:00,139.0,3.7
2026-04-28 21:10:00,111.0,3.9
2026-04-28 21:20:00,96.0,3.7
2026-04-28 21:30:00,82.0,3.7
2026-04-28 21:40:00,78.0,3.2
2026-04-28 21:50:00,118.0,3.7
2026-04-28 22:00:00,72.0,3.5
2026-04-28 22:10:00,77.0,4.1
2026-04-28 22:20:00,135.0,3.9
2026-04-28 22:30:00,84.0,4.7
2026-04-28 22:40:00,111.0,4.2
2026-04-28 22:50:00,96.0,4.3
2026-04-28 23:00:00,99.0,3.9
2026-04-28 23:10:00,78.0,4.0
2026-04-28 23:20:00,112.0,3.5
2026-04-28 23:30:00,116.0,4.4
2026-04-28 23:40:00,129.0,3.9
2026-04-28 23:50:00,86.0,4.7
2026-04-29 00:00:00,124.0,4.3
2026-04-29 00:10:00,89.0,3.9
2026-04-29 00:20:00,120.0,3.5
2026-04-29 00:30:00,91.0,4.2
2026-04-29 00:40:00,118.0,4.6
2026-04-29 00:50:00,116.0,4.0
2026-04-29 01:00:00,100.0,4.0
2026-04-29 01:10:00,117.0,4.7
2026-04-29 01:20:00,125.0,4.5
2026-04-29 01:30:00,136.0,3.4
2026-04-29 01:40:00,74.0,3.8
2026-04-29 01:50:00,80.0,3.8
2026-04-29 02:00:00,72.0,3.3
2026-04-29 02:10:00,81.0,3.5
2026-04-29 02:20:00,124.0,3.6
2026-04-29 02:30:00,52.0,3.7
2026-04-29 02:40:00,76.0,3.3
2026-04-29 02:50:00,53.0,3.2
2026-04-29 03:00:00,148.0,4.0
2026-04-29 03:10:00,100.0,4.0
2026-04-29 03:20:00,123.0,3.6
2026-04-29 03:30:00,117.0,3.8
2026-04-29 03:40:00,101.0,3.5
2026-04-29 03:50:00,123.0,3.7
2026-04-29 04:00:00,104.0,4.1
2026-04-29 04:10:00,108.0,4.0
2026-04-29 04:20:00,95.0,3.7
2026-04-29 04:30:00,111.0,3.6
2026-04-29 04:40:00,134.0,3.3
2026-04-29 04:50:00,148.0,3.5
2026-04-29 05:00:00,85.0,3.0
2026-04-29 05:10:00,138.0,3.8
2026-04-29 05:20:00,112.0,3.8
2026-04-29 05:30:00,102.0,3.5
2026-04-29 05:40:00,100.0,3.5
2026-04-29 05:50:00,164.0,3.4
2026-04-29 06:00:00,156.0,3.7
2026-04-29 06:10:00,83.0,3.4
2026-04-29 06:20:00,49.0,3.6
2026-04-29 06:30:00,45.0,3.8
2026-04-29 06:40:00,17.0,3.3
2026-04-29 06:50:00,24.0,2.9
2026-04-29 07:00:00,318.0,3.1
2026-04-29 07:10:00,3.0,4.1
2026-04-29 07:20:00,329.0,2.7
2026-04-29 07:30:00,354.0,3.0
2026-04-29 07:40:00,341.0,3.8
2026-04-29 07:50:00,357.0,3.5
2026-04-29 08:00:00,334.0,4.3
2026-04-29 08:10:00,324.0,3.9
2026-04-29 08:20:00,321.0,3.9
2026-04-29 08:30:00,329.0,3.9
2026-04-29 08:40:00,312.0,3.4
2026-04-29 08:50:00,3.0,3.7
2026-04-29 09:00:00,344.0,3.7
2026-04-29 09:10:00,330.0,3.3
2026-04-29 09:20:00,352.0,3.4
2026-04-29 09:30:00,257.0,3.5
2026-04-29 09:40:00,289.0,3.4
2026-04-29 09:50:00,305.0,3.3
2026-04-29 10:00:00,294.0,3.4
2026-04-29 10:10:00,267.0,4.3
2026-04-29 10:20:00,333.0,3.8
2026-04-29 10:30:00,305.0,4.1
2026-04-29 10:40:00,288.0,3.8
2026-04-29 10:50:00,8.0,3.5
2026-04-29 11:00:00,162.0,4.1
2026-04-29 11:10:00,44.0,4.0
2026-04-29 11:20:00,121.0,4.4
2026-04-29 11:30:00,125.0,3.7
2026-04-29 11:40:00,82.0,4.5
2026-04-29 11:50:00,108.0,3.8
2026-04-29 12:00:00,226.0,4.1
2026-04-29 12:10:00,271.0,4.0
2026-04-29 12:20:00,222.0,3.8
2026-04-29 12:30:00,335.0,4.3
2026-04-29 12:40:00,8.0,4.0
2026-04-29 12:50:00,34.0,4.5
2026-04-29 13:00:00,295.0,4.5
2026-04-29 13:10:00,339.0,4.0
2026-04-29 13:20:00,23.0,3.9
2026-04-29 13:30:00,359.0,4.3
2026-04-29 13:40:00,264.0,4.4
2026-04-29 13:50:00,314.0,3.7
2026-04-29 14:00:00,286.0,3.9
2026-04-29 14:10:00,333.0,4.6
2026-04-29 14:20:00,309.0,4.3
2026-04-29 14:30:00,336.0,4.1
2026-04-29 14:40:00,316.0,4.5
2026-04-29 14:50:00,321.0,4.9
2026-04-29 15:00:00,327.0,5.4
2026-04-29 15:10:00,327.0,5.7
2026-04-29 15:20:00,334.0,4.6
2026-04-29 15:30:00,323.0,4.8
2026-04-29 15:40:00,320.0,5.2
2026-04-29 15:50:00,327.0,4.5
2026-04-29 16:00:00,305.0,4.7
2026-04-29 16:10:00,308.0,5.4
2026-04-29 16:20:00,316.0,5.2
2026-04-29 16:30:00,13.0,5.0
2026-04-29 16:40:00,343.0,4.8
2026-04-29 16:50:00,349.0,4.3
2026-04-29 17:00:00,337.0,3.6
2026-04-29 17:10:00,14.0,3.6
2026-04-29 17:20:00,300.0,3.9
2026-04-29 17:30:00,323.0,4.3
2026-04-29 17:40:00,327.0,4.4
2026-04-29 17:50:00,357.0,3.7
2026-04-29 18:00:00,4.0,3.8
2026-04-29 18:10:00,344.0,3.9
2026-04-29 18:20:00,22.0,3.4
2026-04-29 18:30:00,321.0,3.8
2026-04-29 18:40:00,324.0,3.7
2026-04-29 18:50:00,333.0,4.1
2026-04-29 19:00:00,354.0,3.4
2026-04-29 19:10:00,325.0,3.8
2026-04-29 19:20:00,343.0,3.9
2026-04-29 19:30:00,31.0,3.7
2026-04-29 19:40:00,355.0,4.3
2026-04-29 19:50:00,358.0,3.4
2026-04-29 20:00:00,336.0,3.3
2026-04-29 20:10:00,340.0,4.1
2026-04-29 20:20:00,334.0,3.6
2026-04-29 20:30:00,359.0,3.8
2026-04-29 20:40:00,334.0,3.5
2026-04-29 20:50:00,3.0,3.7
2026-04-29 21:00:00,321.0,3.4
2026-04-29 21:10:00,353.0,4.2
2026-04-29 21:20:00,36.0,3.2
2026-04-29 21:30:00,25.0,3.6
2026-04-29 21:40:00,326.0,4.0
2026-04-29 21:50:00,334.0,3.2
2026-04-29 22:00:00,354.0,3.6
2026-04-29 22:10:00,24.0,4.2
2026-04-29 22:20:00,344.0,3.2
2026-04-29 22:30:00,349.0,3.4
2026-04-29 22:40:00,309.0,3.6
2026-04-29 22:50:00,341.0,3.6
2026-04-29 23:00:00,344.0,3.3
2026-04-29 23:10:00,4.0,3.1
2026-04-29 23:20:00,294.0,3.6
